source_name,source_link,event_id,event_date,event_title,event_description,location_description,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,longitude,latitude,rainfall_1d,rainfall_3d,rainfall_7d,rainfall_14d,max_rainfall_7d,elevation_m,slope_deg,location_accuracy_km,is_rain_triggered,landslide_size_encoded,FAOSOIL,DOMSOI
The Sangai Express,http://www.thesangaiexpress.com/page/items/54212/massive-landslide-along-maram-peren-road-downpour-creates-havoc-in-different-parts,7267,2015-07-22 00:00:00,NH-2 between Senapati and Mao,"Reports from other locations also say that minor landslides, potholes, water-logging have been spotted along the NH-2 stretch between Senapati and Mao.",NH-2 between Senapati and Mao,landslide,continuous_rain,small,above_road,0.0,0.0,India,IN,Manipur,92113.0,Kohima,31.50636,94.0926,25.3908,16.94,48.02,130.7,171.53,34.89,1307.0,14.54418447986959,10.0,True,1.0,Ao76-2/3c,Ao
prokerala,http://www.prokerala.com/news/articles/a75292.html,1127,2009-08-27 00:00:00,between Mahur and Phaiding railway stations on Barail hills (Mahur and Barail hills located),"The landslides, triggered by torrential rains, took place between Mahur and Phaiding railway stations. The landslides and rock slips damaged the tracks extensively. A 100-metre stretch of track between Mahur and Phaiding had gone under the mud and soil that came down the Barail hills.",between Mahur and Phaiding railway stations on Barail hills (Mahur and Barail hills located),landslide,downpour,medium,unknown,0.0,0.0,India,IN,Assam,7176.0,Mahur,1.57696,93.123,25.1718,4.12,19.43,59.39,174.32,18.13,718.0,13.239755820989554,10.0,True,2.0,Ao76-2/3c,Ao
kanglaonline.com,http://kanglaonline.com/2011/07/works-minister-visits-landslide-hit-maram-stretch-of-nh2/,3860,2011-07-29 00:00:00,"Maram, Manipur","IMPHAL July 29: Several external factors are severely hindering the progress of road repair works being undertaken at the landslide affected area of Maram in Senapati and other developmental works being undertaken along the National Highway, stated works minister K Ranjit after a personal inspection tour of landslide affected area of Maram in Senapati.  Deliberating on the issue faced by the officials and personnel working at the sites, he told media persons accompanying hin that there have been several reported incidents of monetary demands on the officials made by anti-social individuals besides threatening and afflicting physical harms to the labourers working at the Maram landslide area.  Further elaborating, minister K Ranjit stated that the Border Road Organization has been controlling the renovation and repairing of the 27 kms long stretch from Mao to Maram in Senapati for the past 40 years, however considering the failure of the BRO to maintained the highway which is also the m","Maram, Manipur",landslide,rain,medium,unknown,0.0,0.0,India,IN,Nagaland,92113.0,Kohima,28.30317,94.108,25.4192,4.21,9.26,33.41,164.08,10.07,1388.0,14.27107053574802,10.0,True,2.0,Ao76-2/3c,Ao
E-PAO,http://e-pao.net/GP.asp?src=22..020815.aug15,7372,2015-07-31 23:00:00,Naga Gate along the Ukhrul-Imphal route,"Reports reaching here have said that massive landslides that occurred last night at several points like New Haven, Finch Corner, Nungshang Kong and Naga Gate along the Ukhrul-Imphal route have brought vehicular movements to a standstill since early morning on Saturday.",Naga Gate along the Ukhrul-Imphal route,mudslide,continuous_rain,medium,above_road,0.0,0.0,India,IN,Manipur,223523.0,Imphal,49.09866,94.3415,25.0634,79.86,103.04,118.66,224.46,79.86,1763.0,27.550445354076174,10.0,True,2.0,Bh16-2/3c,Bh
Shillong Times,http://www.theshillongtimes.com/2015/08/20/child-washed-away-in-tura/,7336,2015-08-19 09:00:00,NH-62 at Sibbari,The three days of deluge caused a portion of NH-62 to remain closed for some hours at Sibbari area due to a land slip on Wednesday morning.,NH-62 at Sibbari,landslide,continuous_rain,medium,above_road,0.0,0.0,India,IN,Meghalaya,79016.0,Netrakona,41.13405,90.5549,25.2193,26.68,58.96,87.68,136.52,26.68,271.0,4.622196164454146,10.0,True,2.0,Nd2-2b,Nd
www.nagalandpost.com,http://www.nagalandpost.com/channelnews/State/StateNews.aspx?news=TkVXUzEwMDA0MzQ3OQ%3D%3D-qmeQz2DKZMo%3D,5312,2013-08-11 23:00:00,Kangtsung Village,"MLA and Chairman, Nagaland Pollution Control, Amenba Yaden Saturday visited the landslide area at Kangtsung village and its surrounding areas under Tuli in Mokokchung district. Major landslides had completely cut off road connectivity of Kangtsung and Anaki areas of Tuli Sub-division, Mokokchung district with the rest of the state. Kangtsung Village Council and all the villagers expressed gratitude to the MLA and Chairman, Nagaland Pollution Control for showing his concern. The council also thanked the concerned department officials for their visit and requested to take necessary steps to restore the roads at the earliest. At the same time, the village council at its own expenses had pressed into service two JCBs and a Dumper, since Monday to clear the road so that light vehicles and pedestrians could pass. Out of the 40-50, 8 to 10 major landslides caused immense distress to the villagers since August 11. Rain triggered landslides began hitting the area on August 11 though no loss of",Kangtsung Village,landslide,downpour,very_large,unknown,0.0,0.0,India,IN,Assam,8494.0,Amguri,20.23756,94.693,26.7103,6.1,12.29,114.0,166.24,41.52,687.0,12.53647418327811,10.0,True,,Ao76-2/3c,Ao
e-pao,http://www.e-pao.net/GP.asp?src=21..210810.aug10,2304,2010-08-21 18:00:00,"NH 39 at Kigwema(?), between Mao Gate and Kohima, Nagaland","Kohima, August 22 2010: Fresh landslide has occurred between Mao Gate and Kohima on Saturday evening.  The landslide occurred near Kigwema but the authorities are clearing it on war-footing.","NH 39 at Kigwema(?), between Mao Gate and Kohima, Nagaland",landslide,downpour,medium,unknown,0.0,0.0,India,IN,Nagaland,92113.0,Kohima,11.44167,94.1211,25.5718,5.7,25.64,59.56,84.08,10.84,1623.0,11.162178370173905,10.0,True,2.0,Ao76-2/3c,Ao
thehimalayanbeacon.com,http://thehimalayanbeacon.com/magazine/2010/08/21/sikkim-landslides-heavy-toll-2-gpus-completely-cut/,2296,2010-08-20 00:00:00,"many locations around Namchi, Sikkim","Posted by Barun Roy on August 21st, 2010  Namchi: The heavy down pour last two days resulted in much damages at two Gram Panchayat units Lingee-Sokpay and Payoung-Kaw under Yangyany Block Administrative Centre. Kubernath Timshina, Panchayat President of Payoung-Kaw GPU, informs that in the wake of a huge landslide the family members and live stock of Ambika Prashad Adhakari of Millde Payoung have been shifted to other safe place since his house was heavily damaged by the slide.  The houses of Hemlal Adhakari and Rabilal Adhakari of Middle Payoung are also on the verge of collapse due to a heavy mud slip from the new cutting of PWD road. At Lingee village, following heavy rainfall the kitchen of Bhakti Maya Dabhari was completely buried by landslide and her house was also partly damaged. In Dara Karhaha ward of Payoung-Kaw Gram Panchayat Unit, the house of Tek Bdr. Rai was heavily damaged by the new cutting of PMGSY road and if the rain continues for one more day he has to be shifted to","many locations around Namchi, Sikkim",complex,downpour,medium,unknown,0.0,0.0,India,IN,Sikkim,1147.0,Namchi,0.47225,88.3652,27.167,5.94,55.21,177.09,210.69,68.88,1483.0,23.74809153558515,10.0,True,2.0,Rd29-1a,Rd
E-PAO,http://e-pao.net/GP.asp?src=26..120815.aug15,7664,2015-08-11 00:00:00,Nungba,"In a press statement, ZB-AMN General Secretary Dr Gairiangmei Maringmei said due to recent incessant rain, several areas of the Zeliangrong region have experienced landslides.",Nungba,landslide,continuous_rain,medium,unknown,0.0,0.0,India,IN,Manipur,0.0,Bishnupur,36.47706,93.4251,24.7459,5.97,40.38,84.21,215.6,26.61,764.0,5.048548813150623,10.0,True,2.0,Bh16-2/3c,Bh
english.samaylive,http://english.samaylive.com/regional-news/others-news/676490549/flash-floods-in-arunachal-pradesh.html,3789,2011-07-16 00:00:00,Mebua (8 km from Seppa),"Landslides triggered by torrential rain during the past couple of days have thrown life out of gear in many parts of Arunachal Pradesh disrupting surface communication and water supply.    The Bameng-Chayang Tajo road in East Kameng district has been snapped by flash-floods cutting off both the circles from the rest of the district.        Due to landslides, blockages have been reported at Mebua, some 8 kms off Seppa, the district headquarters.Official sources said today that many small streams in the area have swelled and are dangerously flowing above danger levels and have swept away many culverts along the Bameng -Chayang Tajo road.     Many vehicles from Bameng to Seppa were left stranded at Pachi following the situation.Movement of vehicles on the Seppa- Bameng-Chayang Tajo circuit had to be suspended temporarily, the sources said.",Mebua (8 km from Seppa),landslide,downpour,medium,unknown,0.0,0.0,India,IN,Arunachal Pradesh,7121.0,Bomdila,47.70679,92.9064,27.2743,2.2,79.4,131.24,190.44,49.2,638.0,13.108321654365652,10.0,True,2.0,Ao80-2bc,Ao
www.nagalandpost.com,http://www.nagalandpost.com/ChannelNews/Regional/RegionalNews.aspx?news=TkVXUzEwMDA0MzUxNQ%3D%3D-zy3k3F6024s%3D,5343,2013-08-17 23:00:00,The Imphal-Jiribam Section Of Nh-37 In Tamenglong District,"Over 700 Imphal-bound freight trucks were Sunday stranded between Rengpan and Khambirong on the stretch of the Imphal-Jiribam section of NH-37 in Tamenglong district after the road was totally blocked by a landslide triggered by continuous heavy rainfall. An official report reaching here said that the landslide at various places between Rengpang and Khambirong of the highway was triggered by heavy rainfall last night blocking vehicular movement. Over 700 freight trucks including oil tankers and goods laden trucks heading Imphal from Jiribam with security escorts were reportedly stranded at various places beyond Rengpang on Jiribam side. The freight trucks include among other 250 trucks loaded with rice and other Food Corporation of India (FCI), 30 oil tanker and 10 trucks carrying life saving drugs. The landslide was triggered after around 150 trucks had crossed the area with security escort. Besides this, those vehicles which had already crossed the landslide area remained stranded be",The Imphal-Jiribam Section Of Nh-37 In Tamenglong District,landslide,continuous_rain,medium,unknown,0.0,0.0,India,IN,Assam,12871.0,Lakhipur,43.11128,93.4341,24.7625,8.13,26.33,125.91,211.13,51.71,657.0,36.59719885359989,10.0,True,2.0,Bh16-2/3c,Bh
kanglaonline,http://www.kanglaonline.com/index.php?template=headline&newsid=43094&typeid=1,692,2008-08-07 00:00:00,"National Highway-39, Dimapur-Imphal road and another under Kiphire district of Nagaland","Torrential rains during monsoon caused problems in Nagaland and Manipur, resulting in major landslides damaging bridges and sinking roads along the National Highway-39 and also in different parts of Nagaland. Occurred sometime 7th to 22nd","National Highway-39, Dimapur-Imphal road and another under Kiphire district of Nagaland",landslide,downpour,medium,unknown,0.0,0.0,India,IN,Nagaland,92113.0,Kohima,7.87804,94.04,25.705,0.82,12.78,35.98,88.22,12.35,1036.0,16.860785495741176,10.0,True,2.0,Ao76-2/3c,Ao
gsi.gov,"http://www.portal.gsi.gov.in/portal/page?_pageid=127,875814&_dad=portal&_schema=PORTAL",2539,2010-10-03 00:00:00,"Mosing village, Upper Siang district, Arunachal Pradesh","Ten people were killed and about 300,000 displaced in flash floods and landslides triggered by heavy rains in Arunachal Pradesh. Heavy rains triggered mudslides and flooding in at least three districts of Arunachal Pradesh, washing away bridges, huts and school buildings, besides devastating agriculture crops. ""The devastation caused by the floods and landslides had been extensive with eight people already killed in incidents of house collapse due to landslides, besides snapping road links in many areas."" The casualties were reported early on Saturday in Mosing village in Upper Siang district (of Arunachal Pradesh) bordering China, where several houses got buried under mounds of earth.","Mosing village, Upper Siang district, Arunachal Pradesh",landslide,downpour,medium,unknown,10.0,0.0,India,IN,Arunachal Pradesh,25581.0,Pāsighāt,28.27407,95.4149,28.3092,2.35,13.64,31.43,107.15,14.27,1851.0,50.98081968480692,25.0,True,2.0,Ao80-2bc,Ao
